#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
Russia_East_Arkhangelsk;East Arkhangel'sk;Est d'Arkhangelsk;Ost-Archangelsk;Wschodnie Archangielsk;Este de Arcángel;Est di Arcangelo;Östra Archangelsk;Východní Archangelsk;Keleti Arhangelszk;Oost-Archangelsk;Leste de Arcangel;Восточный Архангельск;Itä-Arhangel'sk;阿尔汉格尔斯克东部
East_Germany_Brandenburg;Brandenburg;Brandebourg;Brandenburg;Brandenburg;Brandeburgo;Brandeburgo;Brandenburg;Brandenbursko;Brandenburg;Brandenburg;Brandemburgo;Бранденбург;Brandenburg;勃兰登堡
East_Germany_Saxony;Saxony;Saxe;Sachsen;Saksonia;Sajonia;Sassonia;Sachsen;Sasko;Szászföld;Saksen;Saxônia;Саксония;Saksi;萨克森
East_Germany_Thuringia;Thuringia;Thuringe;Thüringen;Turyngia;Turingia;Turingia;Thüringen;Durynsko;Türingia;Thüringen;Turíngia;Тюрингия;Thüringen;图林根
East_Germany_Berlin;Berlin;Berlin;Berlin;Berlin;Berlín;Berlino;Berlin;Berlín;Berlín;Berlín;Berlim;Берлин;Berliini;柏林
East_Germany_Mecklenburg;Mecklenburg-Vorpommern;Mecklembourg-Poméranie;Mecklenburg-Vorpommern;Meklemburgia-Pomorze Przednie;Mecklemburgo-Pomerania Occidental;Meclemburgo-Pomerania Anteriore;Mecklenburg-Vorpommern;Meklenbursko-Přední Pomořansko;Mecklenburg-Elő-Pomeránia;Mecklenburg-Voor-Pommeren;Mecklemburgo-Pomerânia Ocidental;Мекленбург — Передняя Померания;Mecklenburg-Etu-Pommeri;梅克伦堡-前波美拉尼亚
UK_Northern_Ireland;Northern Ireland;Irlande du Nord;Nordirland;Irlandia Północna;Irlanda del Norte;Irlanda del Nord;Nordirland;Severní Irsko;Észak-Írország;Noord-Ierland;Irlanda do Norte;Северная Ирландия;Pohjois-Irlanti;北爱尔兰
UK_Wales;Wales;Pays de Galles;Wales;Walia;Gales;Galles;Wales;Wales;Wales;Wales;País de Gales;Уэльс;Wales;威尔士
UK_Lothian;Lothian;Lothian;Lothian;Lothian;Lothian;Lothian;Lothian;Lothian;Lothian;Lothian;Lothian;Лотиан;Lothian;洛锡安
UK_Highlands;Highlands;Hautes Terres;Highlands;Wyżyny;Tierras Altas;Altopiani;Höglandet;Vysokohory;Felföld;Hoogland;Terras Altas;Высокогорье;Ylämaat;高地
UK_North_England;North England;Nord de l'Angleterre;Nordengland;Północna Anglia;Inglaterra Septentrional;Inghilterra Settentrionale;Nordengland;Severní Anglie;Észak-Anglia;Noord-Engeland;Inglaterra do Norte;Северная Англия;Pohjois-Englanti;英格兰北部
UK_Midlands;Midlands;Midlands;Midlands;Midlands;Midlands;Midlands;Midlands;Midlands;Közép-Anglia;Midlands;Midlands;Мидлендс;Midlands;米德兰兹
UK_South_England;South England;Sud de l'Angleterre;Südengland;Południowa Anglia;Inglaterra Meridional;Inghilterra Meridionale;Sydengland;Jižní Anglie;Dél-Anglia;Zuid-Engeland;Inglaterra do Sul;Южная Англия;Etelä-Englanti;英格兰南部
UK_Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibraltar;Gibilterra;Gibraltar;Gibraltar;Gibraltár;Gibraltar;Gibraltar;Гибралтар;Gibraltar;直布罗陀
Hong_Kong_Hong_Kong;Hong Kong;Hong Kong;Hongkong;Hongkong;Hong Kong;Hong Kong;Hongkong;Hongkong;Hongkong;Hongkong;Hong Kong;Гонконг;Hongkong;香港
Mongolia_Arhangay;Arhangay;Arhangay;Arhangai;Arhangaj;Arhangay;Arhangaj;Arhangaj;Arhangaj;Arhangaj;Arhangaj;Arhangay;Архангай;Arhangaj;阿尔汗盖
Mongolia_Bayanhongor;Bayanhongor;Bayanhongor;Bayanhongor;Bajan-Chongor;Bayanhongor;Bayanhongor;Bayanhongor;Bayanhongor;Bajanhongor;Bayanhongor;Bayanhongor;Баянхонгор;Bayanhongor;巴彦洪戈尔
Mongolia_Bayan-lgiy;Bayan-Ölgiy;Bayan-Ölgiy;Bayan-Ölgiy;Bajan-Ölgij;Bayan-Ölgiy;Bayan-Ölgiy;Bayan-Ölgiy;Bayan-Ölgiy;Baján-Ölgij;Bayan-Ölgiy;Bayan-Ölgiy;Баян-Өлгий;Bayan-Ölgiy;巴彦乌列盖
Mongolia_Dornod;Dornod;Dornod;Dornod;Dornod;Dornod;Dornod;Dornod;Dornod;Dornod;Dornod;Dornod;Дорнод;Dornod;东方省
Mongolia_Dornogovi;Dornogovi;Dornogovi;Dornogobi;Dornogobi;Dornogoví;Dornogovi;Dornogovi;Dornogovi;Dornogovi;Dornogovi;Dornogovi;Дорноговь;Dornogovi;东戈壁
Mongolia_Dzavhan;Dzavhan;Dzavhan;Dzavhan;Dżawchan;Yavjan;Džavhan;Dzjavhan;Džavhan;Dzsavhan;Dzjavhan;Dzavhan;Завхан;Džavhan;扎布汗
Mongolia_Govi-Altay;Govi-Altay;Govi-Altay;Gobi-Altai;Gobi-Ałtaj;Gobi-Altái;Govi-Altaj;Gobi-Altaj;Gobi-Altaj;Govi-Altaj;Gobi-Altaj;Gobi-Altai;Говь-Алтай;Govi-Altai;戈壁阿尔泰
Mongolia_Hentiy;Hentiy;Hentiy;Chenti;Chentij;Jentiy;Chentij;Chentij;Chentij;Hentij;Chentij;Hentiy;Хэнтий;Hentii;肯特
Mongolia_Hovd;Hovd;Hovd;Chowd;Chowd;Jovd;Chovd;Chovd;Chovd;Chovd;Chovd;Hovd;Ховд;Hovd;科布多
Mongolia_Hvsgl;Hövsgöl;Hövsgöl;Chöwsgöl;Chöwsgöl;Jövsgöl;Chövsgöl;Chövsgöl;Chövsgöl;Hövsgöl;Chövsgöl;Hövsgöl;Хөвсгөл;Hövsgöl;库苏古尔
Mongolia_mngovi;Ömnögovi;Ömnögovi;Ömnögobi;Ömnögobi;Ömnogoví;Ömnögovi;Ömnögovi;Ömnögovi;Ömnögovi;Ömnögovi;Ömnögovi;Өмнөговь;Ömnögovi;南戈壁
Mongolia_vrhangay;Övörhangay;Övörhangay;Öwörchanghai;Öwörchanghai;Övörjángay;Övörchanghai;Övörchanghai;Övörchanghai;Övörchanghai;Övörchanghai;Övörhangay;Өвөрхангай;Övörhangaj;前杭爱
Mongolia_Shbaatar;Sühbaatar;Sühbaatar;Süchbaatar;Suchbataar;Süjbáatar;Süchbaatar;Süchbaatar;Süchbaatar;Szühbátor;Süchbaatar;Sühbaatar;Сүхбаатар;Sühbaatar;苏赫巴托尔
Mongolia_Uvs;Uvs;Uvs;Uvs;Uvs;Uvs;Uvs;Uvs;Uvs;Uvs;Uvs;Uvs;Увс;Uvs;乌布苏
Mongolia_Bulgan;Bulgan;Bulgan;Bulgan;Bułgan;Bulgan;Bulgan;Bulgan;Bulgan;Bulgan;Bulgan;Bulgan;Булган;Bulgan;布尔干
Mongolia_Selenge;Selenge;Selenge;Selenge;Selenge;Selenge;Selenge;Selenge;Selenge;Selenge;Selenge;Selenge;Сэлэнгэ;Selenge;色楞格
Mongolia_Dundgovi;Dundgovi;Dundgovi;Dundgobi;Dundgobi;Dundgoví;Dundgovi;Dundgovi;Dundgovi;Dundgovi;Dundgovi;Dundgovi;Дундговь;Dundgovi;中戈壁
Mongolia_Tv;Töv;Töv;Töw;Töw;Töv;Töv;Töv;Töv;Töv;Töv;Töv;Төв;Töv;中央省
North_Korea_Pyeongyang;Pyeongyang;Pyongyang;Pjöngjang;Pjongjang;Pyongyang;Pyongyang;Pyongyang;Pchjongjang;Phenjan;Pyongyang;Pyongyang;Пхеньян;Pjongjang;平壤
North_Korea_Rason;Rason;Rason;Rason;Rason;Rason;Rason;Rason;Rason;Rason;Rason;Rason;Расон;Rason;罗先
North_Korea_Western_Border_Zone;Western Border Zone;Zone frontalière occidentale;Westliche Grenzzone;Zachodnia Strefa Graniczna;Zona Fronteriza Occidental;Zona di Confine Occidentale;Västra gränszonen;Západní pohraniční zóna;Nyugati határzóna;Westelijke grenszone;Zona de Fronteira Ocidental;Западная пограничная зона;Länsi rajavyöhyke;西部边境区
Taiwan_Taiwan;Taiwan;Taïwan;Taiwan;Tajwan;Taiwán;Taiwan;Taiwan;Taiwan;Tajvan;Taiwan;Taiwan;Тайвань;Taiwan;台湾
Philippines_Luzon;Luzon;Luzon;Luzon;Luzon;Luzón;Luzon;Luzon;Luzon;Luzon;Luzon;Luzon;Лусон;Luzon;吕宋
Philippines_Visayas;Visayas;Visayas;Visayas;Visayas;Visayas;Visayas;Visayas;Visayas;Viszaják;Visayas;Visayas;Висайские острова;Visayat;维萨亚斯
Philippines_Mindanao;Mindanao;Mindanao;Mindanao;Mindanao;Mindanao;Mindanao;Mindanao;Mindanao;Mindanao;Mindanao;Mindanao;Минданао;Mindanao;棉兰老
Vietnam_Thay_Nguyen;Thay Nguyen;Thái Nguyên;Thai Nguyen;Thái Nguyên;Thai Nguyên;Thai Nguyên;Thai Nguyen;Thái Nguyên;Thai Nguyên;Thai Nguyen;Thai Nguyên;Тхай Нгуен;Thai Nguyen;太原
Vietnam_Hanoi;Hanoi;Hanoï;Hanoi;Hanoi;Hanói;Hanoi;Hanoi;Hanoj;Hanoj;Hanoi;Hanói;Ханой;Hanoi;河内
Vietnam_Nam_Trung_Bo;Nam Trung Bo;Nam Trung Bo;Nam Trung Bo;Nam Trung Bo;Nam Trung Bo;Nam Trung Bo;Nam Trung Bo;Nam Trung Bo;Nam Trung Bo;Nam Trung Bo;Nam Trung Bo;Нам Чунг Бо;Nam Trung Bo;南中部
Vietnam_Sai_Gon;Sai Gon;Saïgon;Saigon;Sajgon;Saigón;Saigon;Saigon;Saigon;Szajgon;Saigon;Saigão;Сайгон;Saigon;西贡
Vietnam_Mekong_Delta;Mekong Delta;Delta du Mékong;Mekong-Delta;Delta Mekongu;Delta del Mekong;Delta del Mekong;Mekongdeltat;Delta řeky Mekong;Mekong-delta;Mekongdelta;Delta do Mekong;Дельта Меконга;Mekongin suisto;湄公河三角洲
Japan_Hokkaido;Hokkaido;Hokkaido;Hokkaidō;Hokkaido;Hokkaidō;Hokkaidō;Hokkaido;Hokkaidō;Hokkaidó;Hokkaido;Hokkaido;Хоккайдо;Hokkaidō;北海道
Japan_Tohoku;Tohoku;Tōhoku;Tōhoku;Tōhoku;Tōhoku;Tōhoku;Tōhoku;Tōhoku;Tōhoku;Tōhoku;Tōhoku;Тохоку;Tōhoku;东北地方
Japan_Kanto;Kanto;Kantō;Kantō;Kantō;Kantō;Kantō;Kantō;Kantō;Kantō;Kantō;Kantō;Канто;Kantō;关东地方
Japan_Chubu;Chubu;Chūbu;Chūbu;Chūbu;Chūbu;Chūbu;Chūbu;Chūbu;Chūbu;Chūbu;Chūbu;Тюбу;Chūbu;中部地方
Japan_Kansai;Kansai;Kansai;Kansai;Kansai;Kansai;Kansai;Kansai;Kansai;Kanszai;Kansai;Kansai;Кансай;Kansai;关西地方
Japan_Chugoku;Chugoku;Chūgoku;Chūgoku;Chūgoku;Chūgoku;Chūgoku;Chūgoku;Chūgoku;Csúgoku;Chūgoku;Chūgoku;Тюгоку;Chūgoku;中国地方
Japan_Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Shikoku;Sikoku;Shikoku;Shikoku;Сикоку;Shikoku;四国
Japan_Kyushu;Kyushu;Kyūshū;Kyūshū;Kyūshū;Kyūshū;Kyūshū;Kyūshū;Kyūshū;Kjúsú;Kyūshū;Kyūshū;Кюсю;Kyūshū;九州
Japan_Okinawa;Okinawa;Okinawa;Okinawa;Okinawa;Okinawa;Okinawa;Okinawa;Okinawa;Okinawa;Okinawa;Okinawa;Окинава;Okinawa;冲绳
Japan_Ogasawara_Gunt;Ogasawara Gunt;District d'Ogasawara;Ogasawara-Gun;Powiat Ogasawara;Distrito de Ogasawara;Distretto di Ogasawara;Ogasawara kommun;Okres Ogasawara;Ogasawara körzet;Ogasawara-gemeente;Distrito de Ogasawara;Острова Огасавара;Ogasawara;小笠原群岛
Japan_Iwo;Iwo;Iwo;Iwo;Iwo;Iwo;Iwo;Iwo;Iwo;Iwo;Iwo;Iwo;Иводзима;Iwo;硫磺岛
Bangladesh_Dhaka;Dhaka;Dacca;Dhaka;Dhaka;Daca;Dacca;Dhaka;Dháka;Dakka;Dhaka;Daca;Дакка;Dhaka;达卡
Bangladesh_Barisal;Barisal;Barisal;Barisal;Barisal;Barisal;Barisal;Barisal;Barisál;Bariszál;Barisal;Barisal;Барисал;Barisal;巴里萨尔
Bangladesh_Chittagong;Chittagong;Chittagong;Chittagong;Chittagong;Chittagong;Chittagong;Chittagong;Chittagong;Csitagong;Chittagong;Chittagong;Читтагонг;Chittagong;吉大港
Bangladesh_Rajshahi;Rajshahi;Rajshahi;Rajshahi;Rajshahi;Rajshahi;Rajshahi;Rajshahi;Rajshahi;Radzsaszi;Rajshahi;Rajshahi;Раджшахи;Rajshahi;拉杰沙希
Thailand_East_Thailand;East Thailand;Thaïlande orientale;Ostthailand;Wschodnia Tajlandia;Tailandia Oriental;Tailandia Orientale;Östra Thailand;Východní Thajsko;Keleti-Thaiföld;Oost-Thailand;Tailândia Oriental;Восточный Таиланд;Itä-Thaimaa;泰国东部
Thailand_North-East_Thailand;North-East Thailand;Thaïlande nord-orientale;Nordostthailand;Północno-Wschodnia Tajlandia;Tailandia Noreste;Tailandia Nord-orientale;Nordöstra Thailand;Severovýchodní Thajsko;Északkeleti-Thaiföld;Noordoost-Thailand;Tailândia Nordeste;Северо-Восточный Таиланд;Koillis-Thaimaa;泰国东北部
Thailand_South_Thailand;South Thailand;Thaïlande méridionale;Südthailand;Południowa Tajlandia;Tailandia Sur;Tailandia Meridionale;Södra Thailand;Jižní Thajsko;Déli-Thaiföld;Zuid-Thailand;Tailândia do Sul;Южный Таиланд;Etelä-Thaimaa;泰国南部
Thailand_West_Thailand;West Thailand;Thaïlande occidentale;Westthailand;Zachodnia Tajlandia;Tailandia Occidental;Tailandia Occidentale;Västra Thailand;Západní Thajsko;Nyugati-Thaiföld;West-Thailand;Tailândia Ocidental;Западный Таиланд;Länsi-Thaimaa;泰国西部
Thailand_Central_Thailand;Central Thailand;Thaïlande centrale;Zentral-Thailand;Centralna Tajlandia;Tailandia Central;Tailandia Centrale;Centrala Thailand;Střední Thajsko;Középső-Thaiföld;Centraal-Thailand;Tailândia Central;Центральный Таиланд;Keski-Thaimaa;泰国中部
Thailand_North_Thailand;North Thailand;Thaïlande septentrionale;Nordthailand;Północna Tajlandia;Tailandia Norte;Tailandia Settentrionale;Norra Thailand;Severní Thajsko;Északi-Thaiföld;Noord-Thailand;Tailândia do Norte;Северный Таиланд;Pohjois-Thaimaa;泰国北部
Pakistan_Makran;Makran;Makran;Makran;Makran;Makrán;Makran;Makran;Makrán;Makrán;Makran;Makran;Макран;Makran;马克兰
Pakistan_Northern_Areas;Northern Areas;Régions du Nord;Nordgebiete;Tereny Północne;Áreas del Norte;Aree Settentrionali;Nordområdena;Severní oblasti;Északi területek;Noordelijke Gebieden;Áreas do Norte;Северные территории;Pohjoisalueet;北部地区
Pakistan_Azad_Kashmir;Azad Kashmir;Azad Cachemire;Azad Kaschmir;Azad Kaszmir;Azad Cachemira;Azad Kashmir;Azad Kashmir;Azad Kašmír;Azad-Kasmír;Azad Kasjmir;Azad Caxemira;Азад Кашмир;Azad Kashmir;阿扎德克什米尔
Pakistan_Kharan;Kharan;Kharan;Kharan;Kharan;Kharán;Kharan;Kharan;Kharán;Kharán;Kharan;Kharan;Харан;Kharan;卡拉恩
Pakistan_Chitral;Chitral;Chitral;Chitral;Chitral;Chitral;Chitral;Chitral;Chitral;Csitral;Chitral;Chitral;Читрал;Chitral;奇特拉尔
Pakistan_Dir;Dir;Dir;Dir;Dir;Dir;Dir;Dir;Dir;Dir;Dir;Dir;Дир;Dir;迪尔
Pakistan_Khairpur;Khairpur;Khairpur;Khairpur;Khairpur;Khairpur;Khairpur;Khairpur;Khairpur;Khairpur;Khairpur;Khairpur;Хайрпур;Khairpur;海得拉巴
Pakistan_Lasbela;Lasbela;Lasbela;Lasbela;Lasbela;Lasbela;Lasbela;Lasbela;Lasbela;Lasbela;Lasbela;Lasbela;Ласбела;Lasbela;拉斯贝拉
Pakistan_Kalat;Kalat;Kalat;Kalat;Kalat;Kalat;Kalat;Kalat;Kalat;Kalat;Kalat;Kalat;Калат;Kalat;卡拉特
Pakistan_Quetta;Quetta;Quetta;Quetta;Quetta;Quetta;Quetta;Quetta;Quetta;Kvettá;Quetta;Quetta;Кветта;Quetta;奎达
Pakistan_Baluchistan;Baluchistan;Baloutchistan;Belutschistan;Beludżystan;Baluchistán;Belucistan;Baluchistan;Balúčistán;Beludzsitán;Beludzjistan;Baluchistão;Белуджистан;Belutšistan;俾路支斯坦
Pakistan_Bahawalpur;Bahawalpur;Bahawalpur;Bahawalpur;Bahawalpur;Bahawalpur;Bahawalpur;Bahawalpur;Bahawalpur;Bahávalpur;Bahawalpur;Bahawalpur;Бахавалпур;Bahawalpur;巴哈瓦尔布尔
Pakistan_Gilgit;Gilgit;Gilgit;Gilgit;Gilgit;Gilgit;Gilgit;Gilgit;Gilgit;Gilgit;Gilgit;Gilgit;Гилгит;Gilgit;吉尔吉特
Pakistan_NWFP;N.W.F.P.;Khyber Pakhtunkhwa;Nordwestprovinz;Pasztońska Prowincja Pograniczna;Provincia de la Frontera Noroeste;Provincia della Frontiera Nordoccidentale;Nordvästra gränsprovinsen;Severozápadní pohraniční provincie;Északnyugati határvidék;Noordwestelijke Grensprovincie;Província da Fronteira Noroeste;Северо-Западная пограничная провинция;Luoteisrajan provinssi;西北边境省
Pakistan_Sind;Sind;Sind;Sindh;Sind;Sind;Sindh;Sind;Sindh;Szind;Sind;Sind;Синд;Sindh;信德
Pakistan_West_Punjab;West Punjab;Pendjab occidental;Westpunjab;Zachodni Pendżab;Punjab Occidental;Punjab Occidentale;Västra Punjab;Západní Paňdžáb;Nyugati Pandzsáb;West-Punjab;Punjab Ocidental;Западный Пенджаб;Länsi-Punjab;西旁遮普
Pakistan_FATA;F.A.T.A.;Régions tribales;Stammesgebiete;Tereny Plemienne;Áreas Tribales;Aree Tribali;Stamområdena;Kmenová území;Törzsterületek;Stamgebieden;Áreas Tribais;Племенные территории;Heimoalueet;联邦直辖部落地区
Afghanistan_Western_Afghanistan;Western Afghanistan;Afghanistan occidental;Westafghanistan;Zachodni Afganistan;Afganistán Occidental;Afghanistan Occidentale;Västra Afghanistan;Západní Afghánistán;Nyugati-Afganisztán;West-Afghanistan;Afeganistão Ocidental;Западный Афганистан;Länsi-Afganistan;阿富汗西部
Afghanistan_Eastern_Afghanistan;Eastern Afghanistan;Afghanistan oriental;Ostafghanistan;Wschodni Afganistan;Afganistán Oriental;Afghanistan Orientale;Östra Afghanistan;Východní Afghánistán;Keleti-Afganisztán;Oost-Afghanistan;Afeganistão Oriental;Восточный Афганистан;Itä-Afganistan;阿富汗东部
Afghanistan_Southern_Afghanistan;Southern Afghanistan;Afghanistan méridional;Südafghanistan;Południowy Afganistan;Afganistán Sur;Afghanistan Meridionale;Södra Afghanistan;Jižní Afghánistán;Déli-Afganisztán;Zuid-Afghanistan;Afeganistão do Sul;Южный Афганистан;Etelä-Afganistan;阿富汗南部
Afghanistan_Central_Afghanistan;Central Afghanistan;Afghanistan central;Zentralafghanistan;Centralny Afganistan;Afganistán Central;Afghanistan Centrale;Centrala Afghanistan;Střední Afghánistán;Középső-Afganisztán;Centraal-Afghanistan;Afeganistão Central;Центральный Афганистан;Keski-Afganistan;阿富汗中部
Afghanistan_Northern_Afghanistan;Northern Afghanistan;Afghanistan septentrional;Nordafghanistan;Północny Afganistan;Afganistán Septentrional;Afghanistan Settentrionale;Norra Afghanistan;Severní Afghánistán;Északi-Afganisztán;Noord-Afghanistan;Afeganistão Setentrional;Северный Афганистан;Pohjois-Afganistan;阿富汗北部
Afghanistan_Badakhshan;Badakhshan;Badakhchan;Badachschan;Badachszan;Badajshán;Badakhshan;Badakhshan;Badachšán;Badahsán;Badakhshan;Badakhshan;Бадахшан;Badahšan;巴达赫尚
Sri_Lanka_Sri_Lanka;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka;Srí Lanka;Srí Lanka;Sri Lanka;Sri Lanka;Шри-Ланка;Sri Lanka;斯里兰卡
Sri_Lanka_Tamileelam;Tamileelam;Tamileelam;Tamil Eelam;Tamilski Eelam;Tamil Eelam;Tamil Eelam;Tamil Eelam;Tamilský Eelam;Tamil Eelam;Tamil Eelam;Tamil Eelam;Тамил Илам;Tamil Eelam;泰米尔伊拉姆
Burma_Ayeyarwady;Ayeyarwady;Ayeyarwady;Ayeyarwady;Ayeyarwady;Ayeyarwady;Ayeyarwady;Ayeyarwady;Ayeyarwady;Ayeyarwady;Ayeyarwady;Ayeyarwady;Айейарвади;Ayeyarwady;伊洛瓦底
Burma_Bago;Bago;Bago;Bago;Bago;Bago;Bago;Bago;Bago;Bago;Bago;Bago;Баго;Bago;勃固
Burma_Chin;Chin;Chin;Chin;Chin;Chin;Chin;Chin;Chin;Chin;Chin;Chin;Чин;Chin;钦邦
Burma_Kachin;Kachin;Kachin;Kachin;Kachin;Kachin;Kachin;Kachin;Kachin;Kachin;Kachin;Kachin;Качин;Kachin;克钦邦
Burma_Kayah;Kayah;Kayah;Kayah;Kayah;Kayah;Kayah;Kayah;Kayah;Kayah;Kayah;Kayah;Кая;Kayah;克耶邦
Burma_Kayin;Kayin;Kayin;Kayin;Kayin;Kayin;Kayin;Kayin;Kayin;Kayin;Kayin;Kayin;Каин;Kayin;克伦邦
Burma_Magway;Magway;Magway;Magway;Magway;Magway;Magway;Magway;Magway;Magway;Magway;Magway;Магуэй;Magway;马圭省
Burma_Mandalay;Mandalay;Mandalay;Mandalay;Mandalay;Mandalay;Mandalay;Mandalay;Mandalay;Mandalay;Mandalay;Mandalay;Мандалай;Mandalay;曼德勒省
Burma_Mon;Mon;Mon;Mon;Mon;Mon;Mon;Mon;Mon;Mon;Mon;Mon;Мон;Mon;孟邦
Burma_Rakhine;Rakhine;Rakhine;Rakhine;Rakhine;Rakhine;Rakhine;Rakhine;Rakhine;Rakhine;Rakhine;Rakhine;Ракхайн;Rakhine;若开邦
Burma_Sagaing;Sagaing;Sagaing;Sagaing;Sagaing;Sagaing;Sagaing;Sagaing;Sagaing;Sagaing;Sagaing;Sagaing;Сагаинг;Sagaing;实皆省
Burma_Shan;Shan;Shan;Shan;Shan;Shan;Shan;Shan;Shan;Shan;Shan;Shan;Шан;Shan;掸邦
Burma_Tanintharyi;Tanintharyi;Tanintharyi;Tanintharyi;Tanintharyi;Tanintharyi;Tanintharyi;Tanintharyi;Tanintharyi;Tanintharyi;Tanintharyi;Tanintharyi;Танинтари;Tanintharyi;德林达依省
Burma_Yangon;Yangon;Yangon;Yangon;Yangon;Yangon;Yangon;Yangon;Yangon;Yangon;Yangon;Yangon;Янгон;Yangon;仰光省
Bhutan_Bhutan;Bhutan;Bhoutan;Bhutan;Bhutan;Bután;Bhutan;Bhutan;Bhútán;Bhután;Bhutan;Butão;Бутан;Bhutan;不丹
Iran_Bushehr;Bushehr;Bushehr;Bushehr;Bushehr;Bushehr;Bushehr;Bushehr;Bušehr;Bushehr;Bushehr;Bushehr;Бушехр;Bushehr;布什尔省
Iran_Chahar_Mahall_and_Bakhtiari;Chahar Mahall and Bakhtiari;Tchaharmahal-et-Bakhtiari;Tschaharmahal und Bakhtiari;Czahar Mahal i Bakhtiari;Chahar Mahal y Bakhtiari;Chahar Mahal e Bakhtiari;Chahar Mahal och Bakhtiari;Čahár Mahál a Bakhtijárí;Csahár Mahál és Bahktijári;Chahar Mahal en Bakhtiari;Chahar Mahal e Bakhtiari;Чехармехаль и Бахтияри;Chahar Mahal ja Bakhtiari;恰哈马哈勒－巴赫蒂亚里省
Iran_East_Azarbaijan;East Azarbaijan;Azerbaïdjan oriental;Ost-Aserbaidschan;Wschodni Azerbejdżan;Azerbaiyán Oriental;Azerbaigian Orientale;Östazarbaijan;Východní Ázerbájdžán;Keleti-Azerbajdzsán;Oost-Azerbeidzjan;Azerbaijão Oriental;Восточный Азербайджан;Itä-Azerbaidžan;东阿塞拜疆省
Iran_Esfahan;Esfahan;Ispahan;Isfahan;Isfahan;Isfahán;Isfahan;Isfahan;Isfahán;Iszfahán;Isfahan;Isfahan;Исфахан;Isfahan;伊斯法罕省
Iran_Fars;Fars;Fars;Fars;Fars;Fars;Fars;Fars;Fars;Farsz;Fars;Fars;Фарс;Fars;法尔斯省
Iran_Gilan;Gilan;Guilan;Gilan;Gilan;Guilán;Gilan;Gilan;Gílán;Gílán;Gilan;Guilão;Гилян;Gilan;吉兰省
Iran_Golestan;Golestan;Golestan;Golestan;Golestan;Golestán;Golestan;Golestan;Golestán;Golesztán;Golestan;Golestan;Голестан;Golestan;戈勒斯坦省
Iran_Hamadan;Hamadan;Hamadan;Hamadan;Hamadan;Hamadán;Hamadan;Hamadan;Hamadán;Hamadán;Hamadan;Hamadã;Хамадан;Hamadan;哈马丹省
Iran_Hormozgan;Hormozgan;Hormozgan;Hormozgan;Hormozgan;Hormozgán;Hormozgan;Hormozgan;Hormozgán;Hormozgán;Hormozgan;Hormozgan;Хормозган;Hormozgan;霍尔木兹甘省
Iran_Irani_Kurdistan;Irani Kurdistan;Kurdistan iranien;Iranisch-Kurdistan;Kurdystan irański;Kurdistán iraní;Kurdistan iraniano;Iranska Kurdistan;Íránský Kurdistan;Irániai Kurdistan;Iraans Koerdistan;Curdistão iraniano;Иранский Курдистан;Iranin Kurdistan;伊朗库尔德斯坦
Iran_Kerman;Kerman;Kerman;Kerman;Kerman;Kermán;Kerman;Kerman;Kermán;Kermán;Kerman;Kerman;Керман;Kerman;克尔曼省
Iran_Khuzestan;Khuzestan;Khuzestan;Chuzestan;Chuzestan;Juzestán;Khuzestan;Khuzestan;Chúzistán;Huzesztán;Khuzestan;Khuzistão;Хузестан;Khuzestan;胡齐斯坦省
Iran_Kohgiluyeh_and_Buyer_Ahmad;Kohgiluyeh and Buyer Ahmad;Kohkiluyeh-et-Boyer-Ahmad;Kohgiluye und Boyer Ahmad;Kohkiluje i Bojer Ahmad;Kohkiluyeh y Buyer Ahmad;Kohgiluyeh e Buyer Ahmad;Kohgiluyeh och Buyer Ahmad;Kohgilúje a Bojer Ahmad;Kohgiluje és Bojer Ahmad;Kohgiluyeh en Buyer Ahmad;Kohgiluyeh e Buyer Ahmad;Кохгилуйе и Бойер-Ахмад;Kohgiluyeh ja Buyer Ahmad;科吉卢耶－博韦艾哈迈德省
Iran_Lorestan;Lorestan;Lorestan;Lorestan;Lorestan;Lorestán;Lorestan;Lorestan;Lorestán;Luresztán;Lorestan;Lorestan;Лурестан;Lorestan;洛雷斯坦省
Iran_Mazandaran;Mazandaran;Mazandéran;Mazandaran;Mazandaran;Mazandarán;Mazandaran;Mazandaran;Mázandarán;Mázandarán;Mazandaran;Mazandaran;Мазендеран;Mazandaran;马赞达兰省
Iran_North_Khorasan;North Khorasan;Khorasan septentrional;Nord-Chorasan;Północny Chorasan;Jorasan Septentrional;Khorasan Settentrionale;Norra Khorasan;Severní Chorásán;Északi Horászán;Noord-Khorasan;Khorasan do Norte;Северный Хорасан;Pohjois-Khorasan;北呼罗珊省
